ageband,imc,height,weight,hasSportHistoric,hasWalkingHistoric,gender,avgalt,dist,altDiff,currSpd,avgSpd,accumSub,accumDesc,totDist,modal,load,diffic
1,21.798202394816204,183,73,1,1,0,337.65,5.7914944,0.5,1.1612133,0.57758623,461,95,583,0,1,0
1,21.798202394816204,183,73,1,1,0,337.95,6.012827,0.10000000000002274,1.1668752,0.5811966,467,95,589,0,1,0
1,21.798202394816204,183,73,1,1,0,338.05,6.281038,0.10000000000002274,1.1946703,0.58474576,473,95,595,0,1,0
1,21.798202394816204,183,73,1,1,0,338.4,6.1515493,0.5999999999999659,1.324895,0.5882353,479,95,601,0,1,0
1,21.798202394816204,183,73,1,1,0,338.75,5.8409085,0.10000000000002274,1.4762233,0.59166664,484,95,606,0,1,0
1,21.798202394816204,183,73,1,1,0,338.65,6.165341,-0.30000000000001137,1.1354772,0.59504133,484,101,612,0,1,0
1,21.798202394816204,183,73,1,1,0,338.55,6.5513644,0.10000000000002274,1.3429103,0.59836066,490,101,618,0,1,0
1,21.798202394816204,183,73,1,1,0,338.4,6.3191514,-0.4000000000000341,1.2152592,0.60162604,490,107,624,0,1,0
1,21.798202394816204,183,73,1,1,0,338.15,5.7072673,-0.0999999999999659,1.2147444,0.6048387,490,112,629,0,1,0
1,21.798202394816204,183,73,1,1,0,339,6.9233184,1.7999999999999545,1.0850345,0.608,496,112,635,0,1,0
1,21.798202394816204,183,73,1,1,0,340.9,6.807037,2,1.2584958,0.6111111,502,112,641,0,1,0
1,21.798202394816204,183,73,1,1,0,342.5,6.567208,1.2000000000000455,1.3166595,0.61417323,508,112,647,0,1,0
1,21.798202394816204,183,73,1,1,0,343.70000000000005,7.024047,1.1999999999999886,1.2888645,0.6171875,515,112,654,0,1,0
1,21.798202394816204,183,73,1,1,0,344.45000000000005,6.7937593,0.30000000000001137,1.3104827,0.62015504,521,112,660,0,1,0
1,21.798202394816204,183,73,1,1,0,344.75,6.8060303,0.2999999999999545,1.3629844,0.6230769,527,112,666,0,1,0
1,21.798202394816204,183,73,1,1,0,344.95,6.5740075,0.10000000000002274,1.2296714,0.6259542,533,112,672,0,1,0
